x=-10.0, f(x)=72.0, f'(x)=-16.999989999533227
x=-9.9, f(x)=70.31, f'(x)=-16.799989998617093
x=-9.8, f(x)=68.64000000000001, f'(x)=-16.599989999122045
x=-9.700000000000001, f(x)=66.99000000000001, f'(x)=-16.399989999626996
x=-9.600000000000001, f(x)=65.36000000000001, f'(x)=-16.199989998710862
x=-9.500000000000002, f(x)=63.75000000000002, f'(x)=-15.999989998505269
x=-9.400000000000002, f(x)=62.16000000000004, f'(x)=-15.799989999720763
x=-9.300000000000002, f(x)=60.590000000000046, f'(x)=-15.599990000225715
x=-9.200000000000003, f(x)=59.04000000000005, f'(x)=-15.399990000730666
x=-9.100000000000003, f(x)=57.51000000000005, f'(x)=-15.19998999910399
x=-9.000000000000004, f(x)=56.00000000000006, f'(x)=-14.99998999960894
x=-8.900000000000004, f(x)=54.510000000000055, f'(x)=-14.79998999940335
x=-8.800000000000004, f(x)=53.040000000000056, f'(x)=-14.599989997776673
x=-8.700000000000005, f(x)=51.59000000000007, f'(x)=-14.39998999970271
x=-8.600000000000005, f(x)=50.16000000000007, f'(x)=-14.199989999497118
x=-8.500000000000005, f(x)=48.75000000000007, f'(x)=-13.99999000000207
x=-8.400000000000006, f(x)=47.360000000000085, f'(x)=-13.799990000507021
x=-8.300000000000006, f(x)=45.99000000000008, f'(x)=-13.599989998880345
x=-8.200000000000006, f(x)=44.640000000000086, f'(x)=-13.399989999385296
x=-8.100000000000007, f(x)=43.310000000000095, f'(x)=-13.19999000060079
x=-8.000000000000007, f(x)=42.00000000000009, f'(x)=-12.999989998974113
x=-7.9000000000000075, f(x)=40.71000000000009, f'(x)=-12.799989998768522
x=-7.800000000000008, f(x)=39.4400000000001, f'(x)=-12.599989999273474
x=-7.700000000000008, f(x)=38.190000000000104, f'(x)=-12.399989999778425
x=-7.6000000000000085, f(x)=36.96000000000011, f'(x)=-12.199990000283377
x=-7.500000000000009, f(x)=35.75000000000011, f'(x)=-11.999989999367243
x=-7.400000000000009, f(x)=34.560000000000116, f'(x)=-11.799990000582737
x=-7.30000000000001, f(x)=33.390000000000114, f'(x)=-11.599990000377145
x=-7.20000000000001, f(x)=32.240000000000116, f'(x)=-11.399990000171554
x=-7.10000000000001, f(x)=31.110000000000113, f'(x)=-11.19998999925542
